sl_no,project_id,project_code,legacy_ocms_code,pmgid,project_name,agency,ministry,sector,state,approval_date,start_date,target_completion_date,revised_completion_date,original_cost,revised_cost,cumulative_expenditure,physical_progress,cost_growth_pct,expenditure_ratio_pct,cost_overrun_cr,schedule_extension_months,is_cost_escalated,is_schedule_extended,provenance
1929,PAI-400013,400013,,4599,Saturation 4G mobile coverage of Uncovered Villages through USOF,,Department of Telecommunications,Telecommunication,PAN India,07/2022,07/2022,06/2024,03/2026,26316.0,30620.0,9791.8,84.0,16.36,31.98,4304.0,21.0,True,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.466955'}"
1930,PAI-701593,701593,,9929,4G Services by BSNL,,Department of Telecommunications,Telecommunication,PAN India,11/2020,11/2020,03/2024,03/2026,28466.0,19592.0,8471.19,98.23,-31.17,43.24,0.0,24.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.466955'}"
1931,PAI-706775,706775,,3123,BharatNet,,Department of Telecommunications,Telecommunication,PAN India,07/2017,10/2011,08/2023,03/2027,61109.0,188000.0,46431.54,82.4,207.65,24.7,126891.0,43.0,True,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.466955'}"
1932,PAI-709856,709856,N26000116,,MPLS-IP BASED ACCESS AND AGGREGATION NETWORK [MAAN] IN BSNL ALONG WITH TEST AND MEASURING EQUIPMENT,,Department of Telecommunications,Telecommunication,PAN India,05/2023,05/2023,08/2024,06/2026,645.13,645.13,377.59,92.1,0.0,58.53,0.0,22.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.466955'}"
1933,PAI-709857,709857,N26000117,,"Planning, Engineering, Supply, Installation, Testing, Commissioning, Integration & Annual Maintenance of 4G mobile network at 1 Lakh sites on PAN India basis including Mumbai & Delhi LSA on turnkey basis under Phase IX.2 Project.",,Department of Telecommunications,Telecommunication,PAN India,05/2023,06/2023,06/2025,09/2026,24544.55,24544.5,8472.04,98.23,-0.0,34.52,0.0,15.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.466955'}"
1934,PAI-616600,616600,N30000027,,Interception and Diversion and STP works in Bhagalpur under Hybrid annuity based PPP mode-Namami Gange Programme,,"Department of Water Resources, River Development & GR",Waste & Water,Bihar,10/2017,03/2022,02/2025,12/2026,413.29,413.29,126.67,97.0,0.0,30.65,0.0,22.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.466955'}"
1935,PAI-616611,616611,N30000051,3246,Sewage Treatment Plant 100MLD and Sewerage Network 288 km in Digha-Patna under Hybrid annuity based PPP mode-Namami Gange Programme,,"Department of Water Resources, River Development & GR",Waste & Water,Bihar,08/2017,07/2019,12/2025,09/2026,824.0,824.0,396.71,57.0,0.0,48.14,0.0,9.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.466955'}"
1936,PAI-616612,616612,N30000050,3245,Sewage Treatment Plant 50MLD and Sewerage Network 150 km in Kankarbagh- Patna under Hybrid annuity based PPP mode-Namami Gange Programme,,"Department of Water Resources, River Development & GR",Waste & Water,Bihar,08/2017,07/2019,12/2025,,578.89,578.89,171.79,54.0,0.0,29.68,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.466955'}"
1937,PAI-616615,616615,N30000026,,"Sewer Network, SPS and STP at Begusarai",,"Department of Water Resources, River Development & GR",Waste & Water,Bihar,03/2010,03/2018,04/2025,12/2025,230.06,230.06,261.82,97.0,0.0,113.81,0.0,8.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.466955'}"
1938,PAI-616616,616616,N30000035,,"Sewer Networks, SPS and STP at Hajipur",,"Department of Water Resources, River Development & GR",Waste & Water,Bihar,03/2010,03/2018,06/2025,12/2025,305.19,305.19,346.46,95.0,0.0,113.52,0.0,6.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.466955'}"
1939,PAI-616594,616594,,7013,Interception & Diversion with Rehabilitation of sewerage scheme at Agra under Hybrid annuity based PPP model-Namami Gange Programme,,"Department of Water Resources, River Development & GR",Waste & Water,Uttar Pradesh,05/2020,04/2023,04/2025,12/2026,842.25,842.25,208.64,80.0,0.0,24.77,0.0,20.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.466955'}"
1940,PAI-616605,616605,,7015,Pollution Abatement Works for River Kali Meerut under Meerut Municipality Interception & Diversion with STP,,"Department of Water Resources, River Development & GR",Waste & Water,Uttar Pradesh,05/2020,11/2024,12/2024,05/2027,690.71,690.71,34.79,51.0,0.0,5.04,0.0,29.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.466955'}"
1941,PAI-616604,616604,N30000042,,Pollution Abatement works for River Ganga at Hooghly Chinsurah- Municipal Town Interception & Diversion with STP,,"Department of Water Resources, River Development & GR",Waste & Water,West Bengal,05/2018,12/2021,03/2025,08/2026,154.73,154.73,96.17,93.0,0.0,62.15,0.0,17.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.466955'}"
1942,PAI-400100,400100,,3351,Sardar Gouthu Latchanna Thotapalli Barrage Project,,"Department of Water Resources, River Development & GR",Water Resources,Andhra Pradesh,04/2005,01/2006,12/2019,06/2026,353.05,1023.24,872.65,95.88,189.83,85.28,670.19,78.0,True,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.467952'}"
1943,PAI-400101,400101,,3350,Gundlakamma project,,"Department of Water Resources, River Development & GR",Water Resources,Andhra Pradesh,04/2005,04/2005,12/2019,03/2027,397.41,697.39,619.46,98.3,75.48,88.83,299.98,87.0,True,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.467952'}"
1944,PAI-701415,701415,N30000002,4076,Polavaram Irrigation Project,,"Department of Water Resources, River Development & GR",Water Resources,Andhra Pradesh,01/2009,11/2009,04/2022,03/2026,10151.04,55548.9,26674.77,86.14,447.22,48.02,45397.86,47.0,True,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.467952'}"
1945,PAI-701370,701370,,9763,Borolia Irrigation Project,,"Department of Water Resources, River Development & GR",Water Resources,Assam,04/1996,12/1996,12/2022,03/2026,256.16,256.16,44.7,55.44,0.0,17.45,0.0,39.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.467952'}"
1946,PAI-400111,400111,,3315,Kelo Irrigation Project,,"Department of Water Resources, River Development & GR",Water Resources,Chhattisgarh,04/2008,04/2008,12/2019,06/2026,459.97,727.04,618.85,72.0,58.06,85.12,267.07,78.0,True,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.467952'}"
1947,PAI-701399,701399,,,Kudali Irrigation Project,,"Department of Water Resources, River Development & GR",Water Resources,Chhattisgarh,04/2009,12/2009,12/2025,03/2026,382.29,382.29,249.06,86.31,0.0,65.15,0.0,3.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.467952'}"
1948,PAI-400097,400097,,3365,Sardar Sarovar CADWM Project,,"Department of Water Resources, River Development & GR",Water Resources,Gujarat,04/2017,04/2017,12/2019,03/2026,5021.76,6670.31,4956.98,90.3,32.83,74.31,1648.55,75.0,True,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.692073'}"
1949,PAI-701372,701372,,3326,Sardar Sarovar Project,,"Department of Water Resources, River Development & GR",Water Resources,Gujarat,04/1996,04/1996,12/2019,03/2026,20718.17,33412.5,31860.86,93.7,61.27,95.36,12694.33,75.0,True,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.692073'}"
1950,PAI-701376,701376,,3349,"Subernarekha Multipurpose Project, Jharkhand",,"Department of Water Resources, River Development & GR",Water Resources,Jharkhand,04/2011,01/2012,12/2019,03/2026,3807.77,9579.58,5999.8,70.0,151.58,62.63,5771.81,75.0,True,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.692073'}"
1951,PAI-701377,701377,,3341,Upper Tunga Irrigation Project,,"Department of Water Resources, River Development & GR",Water Resources,Karnataka,04/2014,04/2014,12/2019,03/2026,770.16,1606.07,1515.6,99.32,108.54,94.37,835.91,75.0,True,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.692073'}"
1952,PAI-400096,400096,,3367,Omkareshwar CADWM Project,,"Department of Water Resources, River Development & GR",Water Resources,Madhya Pradesh,04/2017,04/2017,12/2019,06/2027,648.09,648.09,208.06,49.78,0.0,32.1,0.0,90.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.692073'}"
1953,PAI-400115,400115,,3308,Bargi Diversion Project Phase - IV [km. 154 to km 197],,"Department of Water Resources, River Development & GR",Water Resources,Madhya Pradesh,04/2008,01/2009,12/2019,03/2026,751.03,893.35,814.02,75.0,18.95,91.12,142.32,75.0,True,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.692073'}"
1954,PAI-400116,400116,,3307,Bargi Diversion Project Phase - III [km. 104 to km 154],,"Department of Water Resources, River Development & GR",Water Resources,Madhya Pradesh,04/2007,04/2007,12/2019,12/2026,1229.15,1399.7,2190.05,81.42,13.88,156.47,170.55,84.0,True,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.692073'}"
1955,PAI-400095,400095,,3368,Gosikhurd CADWM Project,,"Department of Water Resources, River Development & GR",Water Resources,Maharashtra,04/2017,04/2017,12/2019,06/2026,743.73,743.73,459.06,53.93,0.0,61.72,0.0,78.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.692073'}"
1956,PAI-400105,400105,,3335,Urmodi Irrigation Project,,"Department of Water Resources, River Development & GR",Water Resources,Maharashtra,04/2017,04/2018,06/2022,12/2026,580.79,895.81,713.46,76.22,54.24,79.64,315.02,54.0,True,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.692073'}"
1957,PAI-400107,400107,,3330,Sulwade-Jamphal-Kanoli Lift Irrigation Scheme,,"Department of Water Resources, River Development & GR",Water Resources,Maharashtra,04/2017,02/2019,06/2023,06/2027,2407.67,2407.67,2779.38,80.54,0.0,115.44,0.0,48.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.692073'}"
1958,PAI-400109,400109,,3323,Purna Barrage-2 [Ner Dhamana] Medium Irrigation Project,,"Department of Water Resources, River Development & GR",Water Resources,Maharashtra,04/2017,04/2018,06/2020,06/2026,848.07,888.43,690.49,69.63,4.76,77.72,40.36,72.0,True,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.692073'}"
1959,PAI-400112,400112,,3314,Jigaon Irrigation Project,,"Department of Water Resources, River Development & GR",Water Resources,Maharashtra,04/2017,04/2018,06/2028,,7222.95,7222.95,10516.63,92.0,0.0,145.6,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.692073'}"
1960,PAI-617422,617422,,9764,Bodwad Parisar Sinchan Yojna,,"Department of Water Resources, River Development & GR",Water Resources,Maharashtra,05/2002,01/2017,07/2027,,1923.81,1923.81,1949.56,49.5,0.0,101.34,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.692073'}"
1961,PAI-701383,701383,,3336,Waghur Project,,"Department of Water Resources, River Development & GR",Water Resources,Maharashtra,04/1996,04/1996,12/2019,03/2026,1058.99,1758.51,1557.82,89.57,66.06,88.59,699.52,75.0,True,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.692073'}"
1962,PAI-701386,701386,,3311,Gosikhurd Project,,"Department of Water Resources, River Development & GR",Water Resources,Maharashtra,04/2008,04/2008,12/2019,06/2028,7196.47,12770.1,14339.36,72.65,77.45,112.29,5573.63,102.0,True,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.692073'}"
1963,PAI-701391,701391,,3306,Aruna Medium Irrigation Project,,"Department of Water Resources, River Development & GR",Water Resources,Maharashtra,04/2009,01/2010,12/2019,12/2025,210.45,1472.14,1734.71,98.1,599.52,117.84,1261.69,72.0,True,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.692073'}"
1964,PAI-701396,701396,,3317,Lower Pedhi Project,,"Department of Water Resources, River Development & GR",Water Resources,Maharashtra,04/2008,04/2008,12/2019,06/2026,255.97,1480.7,1516.11,65.0,478.47,102.39,1224.73,78.0,True,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:43.692073'}"
